ItemCode	Description	PrimarySupplier	PrimarySupplierProductCode	Barcode	ProductGroup	ProductGroupName	RetailPrice	QtyOnHand	QtyOnOrder	CreationDate	Status	LastSellPriceChange	Duplicate pairs
5391189210492	COVERAM 5MG/10MG TAB 30	APIQ	316865		DIS	Dispensary	0	5	7	4/06/2010	A	6/12/2016	12
905213	ELMORE OIL ARTHRITIS 250ML	APIQ	216569		VIT	Vitamins	39.99	5	0	25/10/2005	A	11/10/2018	13
265249	ELMORE OIL HEAT OIL 250ML	SIGMA	265249		RUB	Medicated Rubs	27.49	1	0	7/04/2021	A	8/04/2021	13
143321	SODI CHLOR 0.9%   10ML 10 P/A	SIGMA	143321		OTC	Over the Counter	11.99	0	0	29/11/2013	A	29/11/2013	14
24193	SODIUM CHLORIDE 0.9% INJ AMPS 10ML	10APIQ	24193		FA	First Aid	1.49	-50	0	10/11/2020	A		14
793618183097	 FACE MASKS KN95 10	APIQ	58746	793618183097	FA	First Aid	80.49	0	0	3/07/2020	A	3/07/2020	
814627025250	10.0.6 BE BERRY CLEAR PEEL MASK 100	APIQ	32226	814627025250	SKN	Skincare	12.49	1	0	17/07/2020	A	21/07/2020	
50051007596	10.0.6 GET YOUR GLOW ON BRIGHT PEEL	APIQ	491055	50051007596	SKN	Skincare	12.49	1	0	17/07/2020	A	21/07/2020	
814627025182	10.0.6 ONE DEEP CHARCOAL CLNSR 150M	APIQ	43463	814627025182	HB	Health & Beauty	9.99	2	0	21/05/2020	A	26/10/2020	
814627024772	10.0.6 SOAK YOUR FACE HYDR MASK 20M	APIQ	43464	814627024772	HB	Health & Beauty	3.99	0	0	21/05/2020	A	21/05/2020	
814627025151	10.0.6 TURN UP THE HEAT CLAY MASK 7	APIQ	43461	814627025151	SKN	Skincare	12.99	2	0	14/07/2020	A	14/07/2020	
9313395263167	10.0.6 ULTRA CLN MK100ML	APIQ	291714	9313395263167	SKN	Skincare	9.99	1	0	18/10/2016	A	11/09/2019	
10012411	2ML CARTRIDGES FOR ANIMAS 2020 & VI	APIQ	15255	10012411	OTC	Over the Counter	84.49	6	0	21/07/2016	A	13/02/2018	
6971820580185	3PLY PROTECTIVE FACE MASK 50PK	SIGMA	959833	6971820580185	FA	First Aid	1.99	1150	0	8/05/2020	A	14/08/2020	
5060006580819	A & D TOUCH FREE INFRARED THERMOMET	APIQ	60702	5060006580819	MEQ	Medical Equipment/Aids	76.99	0	0	11/09/2020	A	17/09/2020	
9338321000029	A LITTLE BIT OF RELIEF 100G TUBE	APIQ	452785	9338321000029	VIT	Vitamins	19.99	11	0			20/06/2016	
9323857000889	A LITTLE BIT OF RELIEF GEL 150G	APIQ	450472	9323857000889	VIT	Vitamins	32.99	4	0	18/02/2014	A	20/06/2016	
5060006580949	A&D NEBULISER(COMPRESSOR TYPE)	APIQ	392294	5060006580949	AST	Asthma Relief	119.99	1	0	6/07/2016	A	7/07/2016	
5060006581342	A/D AUTO BLOOD PRESSURE MONITOR BTO	APIQ	7391	5060006581342	MEQ	Medical Equipment/Aids	141.99	0	0	27/08/2020	A	27/08/2020	
5060006581175	A/D AUTOMATIC B/P MONITOR UA-651SL	APIQ	40409	5060006581175	BP	Blood Pressure Monitors	53.99	0	0	23/06/2020	A	4/03/2021	
4981046603195	A/D WELLBEING DIG SCALE	APIQ	266574	4981046603195	FA	First Aid	77.49	0	0	2/05/2019	A	2/05/2019	
93325783	AAPRI FAC SCRUB ORIG 100G	APIQ	474169	93325783	SKN	Skincare	8.99	0	0	23/09/2016	A	23/09/2016	
9338475023158	ABACAVIR/LAMIVUDINE 600/300 APOTEX	APIQ	33231	9338475023158	DIS	Dispensary	0	0	0	4/05/2018	A	8/05/2018	
9344809000498	ABACAVIR/LAMIVUDINE 600/300 SUN	APIQ	54528	9344809000498	DIS	Dispensary	0	2	0	20/07/2020	A	21/07/2020	
9310185631830	ABBOCIL VK TAB 500MG 25	APIQ	435384	9310185631830	DIS	Dispensary	0	1	6			29/11/2016	
93815801399	ABBOTT CON SOL G/ K H/L	APIQ	573787	93815801399	OTC	Over the Counter	34.49	1	0	23/01/2019	A	24/01/2019	
5021791704941	ABBOTT F/STYLE CTRL HIGH&LOW	APIQ	231894	5021791704941	DA	Blood Glucose Monitors	26.99	1	0	23/06/2020	A	25/06/2020	
93815713647	ABBOTT F/STYLE OPTIUM NEO	APIQ	624306	93815713647	DA	Blood Glucose Monitors	49.99	1	0	2/09/2014	A	21/12/2018	
5021791710874	ABBOTT FREEDOM LITE KIT	APIQ	355518	5021791710874	DA	Blood Glucose Monitors	49.99	5	0	1/03/2012	A	1/03/2012	
5021791708031	ABBOTT FREESTYLE LITE KIT	APIQ	274097	5021791708031	DA	Blood Glucose Monitors	49.99	0	0	23/07/2008	A	23/07/2008	
5021791709847	ABBOTT FREESTYLE LITE STP 100	APIQ	274100	5021791709847	DA	Blood Glucose Monitors	66.99	394	0	27/08/2008	A	22/02/2021	
93815998846	ABBOTT OPTIUM FREESTYLE STRIP	APIQ	686344	93815998846	DA	Blood Glucose Monitors	65.49	390	0			18/03/2021	
93815991137	ABBOTT OPTIUM KETONE ST 10	APIQ	686492	93815991137	DA	Blood Glucose Monitors	8.99	14	0			21/05/2019	
93815700432	ABBOTT THIN LANCETS (100)	APIQ	863017		DA	Blood Glucose Monitors	17.49	16	0	13/04/2010	A	21/01/2016	
9323820000953	ABILIFY 15MG 30	APIQ	479802	9323820000953	DIS	Dispensary	0	7	8	23/12/2004	A	20/04/2021	
9323820000960	ABILIFY 20MG 30	APIQ	480150	9323820000960	DIS	Dispensary	0	7	2	5/12/2005	A	4/08/2017	
5702157142194	ABILIFY MAINTENA 300MG VIAL	APIQ	946877	5702157142194	DIS	Dispensary	0	5	0	31/08/2015	A	31/08/2015	
5702157142200	ABILIFY MAINTENA 400MG VI	APIQ	946885	5702157142200	DIS	Dispensary	0	8	0	17/03/2015	A	10/10/2018	
9323820000939	ABILIFY TAB 10MG 30	APIQ	476110	9323820000939	DIS	Dispensary	0	8	9			3/05/2018	
9323820000984	ABILIFY TAB 30MG 30	APIQ	480193	9323820000984	DIS	Dispensary	0	2	2	9/10/2020	A	16/10/2020	
9323610007773	ABISART 75MG TAB 30 BL	APIQ	388882	9323610007773	DIS	Dispensary	2.49	11	0	3/04/2013	A	9/05/2019	
9323610013491	ABISART 75MG TAB 30 BP	SIGMA	131672	9323610013491	DIS	Dispensary	0	2	0	17/08/2021	A	26/08/2021	
9323610008954	ABISART HCT 150/12.5MG 30	APIQ	388920	9323610008954	DIS	Dispensary	0	105	0	3/04/2013	A	3/04/2013	
9323610008961	ABISART HCT 300/12.5MG BL 30	APIQ	388947	9323610008961	DIS	Dispensary	0.49	87	0	6/02/2019	A	6/02/2019	
9323610008978	ABISART HCT 300/25MG BL 30	APIQ	388955	9323610008978	DIS	Dispensary	0	62	0	18/11/2016	A	21/11/2016	
9323610007780	ABISART TAB 150MG BL 30	APIQ	388890	9323610007780	DIS	Dispensary	0	0	0	2/02/2018	A	2/02/2018	
9323610007797	ABISART TAB 300MG BL 30	APIQ	388912	9323610007797	DIS	Dispensary	0	39	0	27/02/2018	A	27/02/2018	
9328070000142	ABLE ACTINEB FILTER 4 PACK	APIQ	555606	9328070000142	AST	Asthma Relief	19.99	0	0	9/03/2020	A	11/03/2020	
5030818047008	ABLE ACTINEB NEBULISER	APIQ	283517	5030818047008	AST	Asthma Relief	219.99	2	0	5/07/2012	A	5/07/2012	
9328070000913	ABLE BLOOD PRESSURE MONITOR	APIQ	57603	9328070000913	MEQ	Medical Equipment/Aids	74.99	9	0	1/09/2020	A	3/03/2021	
5030818080067	ABLE COLLAPSIBLE ANTI-BAC SPACER	APIQ	555487	5030818080067	AST	Asthma Relief	21.99	10	2	8/07/2014	A	17/04/2018	
93533508	ABLE ESSENTIAL OIL 15ML	APIQ	652393	93533508	AST	Asthma Relief	20.49	12	0	8/07/2014	A	26/08/2015	
9328070000920	ABLE INFRARED THERMOMETER	APIQ	62623	9328070000920	MEQ	Medical Equipment/Aids	79.99	0	0	17/02/2021	A	18/02/2021	
555622	ABLE LITE CARDBOARD SPACE	APIQ	555622		AST	Asthma Relief	7.99	8	0	3/10/2014	A	3/10/2014	
5030818047022	ABLE NEBULISER ACTINEB MINI	APIQ	389897	5030818047022	AST	Asthma Relief	174.49	1	0	8/07/2014	A	18/06/2018	
9328070000036	ABLE NEBULISER BOWL	APIQ	274275	9328070000036	AST	Asthma Relief	6.49	6	0	29/08/2012	A	29/08/2012	
9328070000128	ABLE NEBULISER KIT ADULT	APIQ	274186	9328070000128	AST	Asthma Relief	13.99	12	0	12/07/2012	A	21/12/2018	
9328070000029	ABLE NEBULISER KIT CHILD	APIQ	274194	9328070000029	AST	Asthma Relief	13.99	7	0	12/07/2012	A		
9328070000074	ABLE NEBULISER MASK ADULT	APIQ	274283	9328070000074	AST	Asthma Relief	10.99	0	0	22/04/2016	A	22/04/2016	
9328070000043	ABLE NEBULISER MASK CHILD	APIQ	274291	9328070000043	AST	Asthma Relief	9.49	2	0	7/07/2021	A	21/07/2021	
9328070001095	ABLE NEBULISER MOUTHPIECE	APIQ	555630	9328070001095	AST	Asthma Relief	7.99	5	0	24/11/2014	A		
9317534027771	ABLE OIL - EVERYDAY HEALTH BLEND	APIQ	57842	9317534027771	AST	Asthma Relief	14.99	10	0	28/08/2020	A	28/08/2020	
9317534027764	ABLE OIL - HAY FEVER BLEND	APIQ	57841	9317534027764	AST	Asthma Relief	12.99	10	0	22/07/2020	A	24/07/2020	
6945040100645	ABLE PULSE OXIMETER	APIQ	20863	6945040100645	BP	Blood Pressure Monitors	84.99	1	0	3/02/2020	A	5/02/2020	
609728286996	ABLE SALIN SALT THERAPY DEVICE	APIQ	12465	609728286996	VIT	Vitamins	175.49	0	0	17/03/2020	A	30/03/2020	
5030818070006	ABLE SPACER	APIQ	522880	5030818070006	AST	Asthma Relief	20.49	0	0		A	20/06/2016	
9328070000135	ABLE SPACER ADULT MASK SILICON	APIQ	342963	9328070000135	AST	Asthma Relief	16.99	0	0	3/10/2014	A	3/10/2014	
5023323025340	ABLE SPACER ANTI BAC INF/SM MASK	APIQ	31446	5023323025340	AST	Asthma Relief	14.99	3	0	17/04/2018	A	17/04/2018	
5023323025296	ABLE SPACER ANTI BAC MED/CHLD MASK	APIQ	31445	5023323025296	AST	Asthma Relief	14.99	15	0	17/04/2018	A	17/04/2018	
5023323025289	ABLE SPACER ANTI BAC w MED/CH MASK	APIQ	31326	5023323025289	AST	Asthma Relief	24.99	7	0	17/04/2018	A	17/04/2018	
5023323025166	ABLE SPACER ANTI BAC w SM/INF MASK	APIQ	31327	5023323025166	AST	Asthma Relief	24.99	7	0	17/04/2018	A	17/04/2018	
5023323025555	ABLE SPACER ANTI BACK ADULT MASK	APIQ	31447	5023323025555	AST	Asthma Relief	16.49	3	0	17/04/2020	A	20/04/2020	
5023323025159	ABLE SPACER ANTI BACT	APIQ	31325	5023323025159	AST	Asthma Relief	20.99	28	0	17/04/2018	A	17/04/2018	
9328070000081	ABLE SPACER MASK RUBBER CHILD	APIQ	297887	9328070000081	AST	Asthma Relief	8.99	3	0	24/11/2014	A		
9328070000067	ABLE SPACER MASK SILIC INFANT	APIQ	274151	9328070000067	AST	Asthma Relief	16.99	5	0	18/02/2014	A		
9328070000173	Able TriFlow Breath Excerciser	APIQ	555584	9328070000173	IL	Independent Living	30.99	2	0	26/04/2018	A	26/04/2018	
9328070000104	ABLE TURBOFORTE MUCUS CLEAR DEVICE	APIQ	583634	9328070000104	AST	Asthma Relief	107.99	1	0	10/12/2013	A	12/10/2015	
9339918000453	ABLE ULTRASONIC VAPOURISER	APIQ	651389	9339918000453	AST	Asthma Relief	61.49	29	0	24/11/2014	A	17/07/2018	
9317534027757	ABLE VAPOUR MIST OIL	APIQ	57840	9317534027757	HB	Health & Beauty	22.49	2	0	22/02/2021	A	22/02/2021	
9328070001064	ABLE VAPOURMIST HUMIDIFIER	APIQ	12464	9328070001064	AST	Asthma Relief	53.49	14	0	8/04/2016	A	31/07/2018	
9337439004530	Absorbent Bed Pad Mle	APIQ	321680	9337439004530	IL	Independent Living	49.99	1	0	19/01/2016	A	19/01/2016	
9341677000407	ABSTRAL SUBLINGUAL 100MCG TAB 10	APIQ	10208	9341677000407	DIS	Dispensary	0	0	0	7/10/2016	A	10/10/2016	
9341677000438	ABSTRAL SUBLINGUAL 100MCG TAB 30	APIQ	10209	9341677000438	DIS	Dispensary	0	8	0	30/09/2016	A	30/09/2016	
9341677000414	ABSTRAL SUBLINGUAL 200MCG TAB 10	APIQ	10210	9341677000414	DIS	Dispensary	124.49	0	0	15/04/2019	A	15/04/2019	
9341677000452	ABSTRAL SUBLINGUAL 400MCG TAB 30	APIQ	10383	9341677000452	DIS	Dispensary	0	0	0	27/08/2020	A	28/08/2020	
9341677000520	ABSTRAL SUBLINGUAL 600MCG TAB 10	APIQ	10376	9341677000520	DIS	Dispensary	0	0	0	5/04/2019	A	10/04/2019	
9341677000544	ABSTRAL SUBLINGUAL 800MCG TAB 10	APIQ	10378	9341677000544	DIS	Dispensary	0	3	0	24/12/2020	A	29/12/2020	
9355473000011	ABUNDANT OCEAN SOOTHE GEL	APIQ	57579	9355473000011	SKN	Skincare	22.49	2	0	5/06/2020	A	9/06/2020	
9355473000028	ABUNDANT OCEAN SOOTHE LOTION	APIQ	57580	9355473000028	SKN	Skincare	24.49	1	0	5/06/2020	A	9/06/2020	
9323610007346	ABYRAZ TAB 10MG 30 BL AP	APIQ	28750	9323610007346	DIS	Dispensary	0	0	0	8/07/2020	A	14/07/2020	
9323610013712	ACAMPROSATE MYLAN TAB 333MG 180 BL	APIQ	35208	9323610013712	DIS	Dispensary	0	3	0	2/09/2019	A	5/09/2019	
9323610011602	ACARBOSE MYLAN 50MG TAB 90 BL AU	APIQ	14534	9323610011602	DIS	Dispensary	0	3	0	3/01/2018	A	3/01/2018	
9317109036030	ACARIZAX 30 TABS	APIQ	32404	9317109036030	DIS	Dispensary	151.49	1	0	26/07/2018	A	26/07/2018	
9317109036047	ACARIZAX 90 TABS	APIQ	18638	9317109036047	DIS	Dispensary	0	0	0	22/06/2021	A	23/06/2021	
4015630004706	ACCU-CHEK ACTIVE CONTROL	APIQ	755559	4015630004706	DA	Blood Glucose Monitors	25.49	1	0	26/07/2021	A	5/08/2021	
4015630058143	ACCU-CHEK ACTIVE STRIP 2X50	APIQ	324264	4015630065288	DA	Blood Glucose Monitors	63.99	6	0	11/10/2010	A	11/10/2010	
4015630008681	ACCU-CHEK AVIVA EXPERT ST50	APIQ	362107	4015630068081	DA	Blood Glucose Monitors	35.99	85	0	17/06/2014	A	7/04/2016	
4015630058501	ACCU-CHEK FASTCLIX 102	APIQ	312762	4015630058501	DA	Blood Glucose Monitors	20.99	8	0	3/03/2010	A	17/11/2020	
4015630063048	ACCU-CHEK FASTCLIX 204 LANCETS	APIQ	10989	4015630063048	DA	Blood Glucose Monitors	34.99	15	0	24/12/2015	A	26/06/2017	
4015630058518	ACCU-CHEK FASTCLIX 24	APIQ	312754	4015630058518	DA	Blood Glucose Monitors	7.99	23	0	3/03/2010	A	12/09/2019	
916536	ACCU-CHEK FASTCLIX KIT	APIQ	916536	916536	DA	Blood Glucose Monitors	21.99	0	0	29/04/2015	A	29/04/2016	
4015630065585	ACCU-CHEK FASTCLIX KIT	APIQ	18649	4015630065585	DA	Blood Glucose Monitors	21.99	16	0	11/10/2016	A	11/10/2016	
4015630068401	ACCU-CHEK GUIDE ME METER PACK	APIQ	66534	4015630068401	DA	Blood Glucose Monitors	48.99	27	0	15/07/2021	A	29/07/2021	
4015630066551	ACCU-CHEK GUIDE METER KIT	APIQ	16846	4015630066551	DA	Blood Glucose Monitors	59.99	25	0	11/10/2016	A	20/02/2019	
4015630066537	Accu-Chek Guide Test Strips 100	APIQ	16849	4015630066537	DA	Blood Glucose Monitors	64.99	501	0	11/10/2016	A	2/03/2021	
4015630067022	ACCU-CHEK INSTANT S 50 STRIPS	APIQ	41503	4015630067022	DA	Blood Glucose Monitors	19.95	16	0	6/02/2019	A	26/02/2019	
4015630067206	ACCU-CHEK INSTANT S MONITOR	APIQ	41502	4015630067206	DA	Blood Glucose Monitors	39.49	10	0	6/02/2019	A	6/02/2019	
4015630006724	ACCU-CHEK M.CLIX LANCETS 4 DRUMS	APIQ	471291	4015630006724	DA	Blood Glucose Monitors	7.99	2	0	1/05/2009	A	20/06/2016	
4015630064465	ACCU-CHEK MOBILE METER KIT	APIQ	353337	4015630064465	DA	Blood Glucose Monitors	69.99	6	0	2/04/2012	A	2/04/2012	
4015630058532	ACCU-CHEK MOBILE TEST CASS 100	APIQ	312738	4015630058532	DA	Blood Glucose Monitors	69.99	231	0	3/03/2010	A	23/03/2021	
4015630006700	ACCU-CHEK MULTICLIX LANCETS 17 DRUM	APIQ	472298	4015630006700	DA	Blood Glucose Monitors	23.99	7	0	1/05/2009	A	22/09/2015	
4015630007257	ACCU-CHEK PERFORMA GLUC CONTRL	APIQ	247707	4015630007257	DA	Blood Glucose Monitors	20.99	5	0	19/01/2016	A	24/01/2019	
4015630980116	ACCU-CHEK PERFORMA GLUC ST 100	APIQ	301442	4015630980116	DA	Blood Glucose Monitors	63.99	957	0	18/09/2009	A	4/02/2020	
4015630007264	ACCU-CHEK PERFORMA METER	APIQ	247669	4015630007264	DA	Blood Glucose Monitors	59.99	-6	3	9/07/2007	A	20/02/2019	
4015630018284	ACCU-CHEK S/CLIX LANC 100	APIQ	513962	4015630018284	DA	Blood Glucose Monitors	23.49	18	0			20/06/2016	
4015630006038	ACCU-CHEK SAFE-T-PRO PLUS	APIQ	853097	4015630006038	DA	Blood Glucose Monitors	106.49	0	0	5/04/2017	A	6/04/2017	
9350822000018	ACCU-CHEK SIMPLY EASY PACK	APIQ	66536	9350822000018	DA	Blood Glucose Monitors	19.95	14	0	10/06/2021	A	11/06/2021	
9350822000001	ACCU-CHEK SIMPLY MORE GUIDE DIABETE	APIQ	63971	9350822000001	DA	Blood Glucose Monitors	19.95	3	0	9/02/2021	A	9/02/2021	
4015630018239	ACCU-CHEK SOFTCLIXDEVICE	APIQ	802719	4015630018239	DA	Blood Glucose Monitors	31.99	4	0				
9323610007063	ACETEC 20MG	APIQ	334820	9323610007063	DIS	Dispensary	0	0	8	25/02/2011	A	13/12/2016	
9315676003813	ACETONE BP  500ML      DC	APIQ	467995	9315676003813	OTC	Over the Counter	38.99	1	0	21/11/2013	A	21/11/2013	
9319912007313	ACETONE BPC 100ML	APIQ	459496	9319912007313	OTC	Over the Counter	12.99	1	0	22/02/2018	A	22/02/2018	
9334926001249	ACICLOVIR GH 200MG 90	APIQ	361755	9334926001249	DIS	Dispensary	0	-4.04	0	3/03/2016	A	15/02/2018	
9317039000927	ACIJEL RESTORE 6X6.5G APP	APIQ	313	9317039000927	FEM	Feminine Hygiene	31.99	0	0	27/07/2015	A	18/11/2016	
9317039000675	ACIJEL VAGINAL JELLY 100G	APIQ	312924	9317039000675	FEM	Feminine Hygiene	39.99	10	0	30/04/2010	A	2/10/2015	
9323610002761	ACIMAX TABS 20MG	APIQ	665754	9323610002761	DIS	Dispensary	0	51	15			5/09/2017	
6732856	ACIVISION EYE OINTMENT 4.5G	APIQ	7433	6732856	DIS	Dispensary	0	-1	0	20/11/2015	A	15/12/2015	
9319099001098	ACLASTA 5MG 100ML	APIQ	280194	9319099001098	DIS	Dispensary	0	0	0	17/03/2010	A	26/06/2018	
9327408000809	ACLOR SUSPENSION 125MG 100ML	APIQ	349909	9327408000809	DIS	Dispensary	0	1	0	25/08/2021	A	26/08/2021	
9327408000809	ACLOR SUSPENSION 125MG 100ML	APIQ	349909	9327408000809	DIS	Dispensary	0	0	0	25/08/2021	A	26/08/2021	
9346368000285	ACNATAC 30G	APIQ	50436	9346368000285	DIS	Dispensary	0	0	0	12/08/2020	A	14/08/2020	
9346368000292	ACNATAC 60G	APIQ	50437	9346368000292	DIS	Dispensary	103.99	0	0	6/05/2021	A	6/05/2021	
9350299003192	ACQUIN ASPEN TAB 10MG 30	APIQ	242071	9350299003192	DIS	Dispensary	0	24	0	15/01/2018	A	15/01/2018	
9350299003185	ACQUIN TAB 5MG 30	APIQ	24212	9350299003185	DIS	Dispensary	0	1	0	17/05/2017	A	17/05/2017	
9350299003208	ACQUIN TABLETS 20MG 30	APIQ	25350	9350299003208	DIS	Dispensary	0	18	0	9/06/2017	A	10/08/2017	
9323610009135	ACRIS ONCE A MTH TAB 150M	APIQ	399582	9323610009135	DIS	Dispensary	63.99	0	0	11/09/2014	A	8/09/2015	
9999015615	ACTAIR CONTINUATION 300IR SUBL TAB	APIQ	15615	9999015615	DIS	Dispensary	0	0	0	16/09/2020	A	17/09/2020	
9350299004069	ACTAZE TAB 30MG 28	APIQ	12501	9350299004069	DIS	Dispensary	0	2	0	2/04/2019	A	10/04/2019	
9350299004076	ACTAZE TAB 45MG 28	APIQ	12502	9350299004076	DIS	Dispensary	0	14	0	24/06/2020	A	25/06/2020	
7640149612738	ACTEMRA ACTPEN 162MG/0.9ML SC 4	APIQ	44231	7640149612738	DIS	Dispensary	0	0	0	12/08/2021	A	26/08/2021	
7640149612745	ACTEMRA PFS 162MG/0.9ML SC 4	APIQ	20061	7640149612745	DIS	Dispensary	0	-3	0	2/08/2021	A	3/08/2021	
7640128013211	ACTEMRA VIAL 400MG/20ML 1	APIQ	324884	7640128013211	DIS	Dispensary	1887.99	1	0	13/10/2010	A	3/05/2016	
7640128013174	ACTEMRA VIAL 80MG/4ML 1	APIQ	324868	7640128013174	DIS	Dispensary	0	2	0	13/10/2010	A	13/10/2010	
5000223453688	ACTICOAT DRES 10X10 X5	APIQ	777439	5000223453688	WC	Bandaids/Dressing/ Woundcare	299.99	2	0	13/06/2016	A	4/12/2017	
5000223455583	ACTICOAT DRES 5X5CM X5	APIQ	614394	5000223455583	DIS	Dispensary	146.99	1	0	23/02/2017	A	23/02/2017	
9348721000024	ACTIPATCH 7 Day Trial Pack	APIQ	18396	9348721000024	IL	Independent Living	14.99	15	0	26/08/2016	A	25/07/2017	
851329005159	ACTIPATCH Back Pain Device	APIQ	18399	851329005159	IL	Independent Living	65.99	7	0	13/10/2016	A	17/10/2016	
851329005012	ACTIPATCH Knee Pain Device	APIQ	18397	851329005012	IL	Independent Living	65.99	1	0	13/10/2016	A	17/10/2016	
851329005081	ACTIPATCH Muscle & Joint Pain Devic	APIQ	18421	851329005081	IL	Independent Living	65.99	-1	0	26/08/2016	A	17/10/2016	
9334183001037	ACTIQ LOZ  200MCG  9	APIQ	371645	9334183001037	DIS	Dispensary	0	0	0	27/11/2014	A	27/11/2014	
9334183000917	ACTIQ LOZ  200MCG 30	APIQ	348503	9334183000917	DIS	Dispensary	0	0	0	27/10/2020	A	28/10/2020	
9334183000924	ACTIQ LOZ  400MCG 30	APIQ	348511	9334183000924	DIS	Dispensary	0	2	0	24/04/2019	A	2/05/2019	
9349308001328	ACTIVATED NUTRIENTS POWER UP ENERGY	APIQ	47409	9349308001328	VIT	Vitamins	21.99	0	0	4/01/2021	A	5/01/2021	
9349308001267	ACTIVATED NUTRIENTS TOP UP 4 WOMEN	APIQ	47414	9349308001267	VIT	Vitamins	21.99	1	0	4/01/2021	A	5/01/2021	
9321547004421	ACTONEL  30MG TABS X28	APIQ	699446	9321547004421	DIS	Dispensary	400.49	4	0	29/01/2014	A	29/01/2014	
9321547004049	ACTONEL 5MG TABLETS 28	APIQ	699233	9321547004049	DIS	Dispensary	0	2	0			17/04/2018	
9319733002221	ACTONEL COMBI EC	APIQ	342645	9319733002221	DIS	Dispensary	0	8	73	10/06/2011	A	10/10/2016	
9319733002214	ACTONEL EC COMBI D	APIQ	342637	9319733002214	DIS	Dispensary	0	5	73	10/06/2011	A	21/10/2016	
9319733002269	ACTONEL EC ONCE-A-WEEK 4	APIQ	342629	9319733002269	DSP	Ethical Deals	0	106	28	10/06/2011	A	9/11/2018	
9319733001842	ACTONEL ONCE A MONTH	APIQ	298115	9319733001842	DSP	Ethical Deals	0	18	44	15/07/2009	A	16/02/2021	
9323829002392	ACTOS TAB 15MG 28	APIQ	746495	9323829002392	DIS	Dispensary	0	6	0			9/03/2021	
